etsng_code;etsng_name;cargo_group_code;cargo_group_name
10002;ЗЕРНОВЫЕ И ЗЕРНОБОБОВЫЕ КУЛЬТУРЫ;7;Хлебные грузы
11005;ПШЕНИЦА;7;Хлебные грузы
12008;РОЖЬ;7;Хлебные грузы
13000;ОВЕС;7;Хлебные грузы
14003;ЯЧМЕНЬ;7;Хлебные грузы
15006;ЗЕРНО КУКУРУЗЫ;7;Хлебные грузы
16009;ПОЧАТКИ КУКУРУЗЫ;10;Остальные грузы
17001;РИС;7;Хлебные грузы
17016;РИС НЕШЕЛУШЕНЫЙ (РИС-СЫРЕЦ);7;Хлебные грузы
17020;РИС ШЕЛУШЕНЫЙ (НЕПОЛИРОВАННЫЙ РИС);7;Хлебные грузы
17035;РИС ПРОЧИЙ;7;Хлебные грузы
18004;ПРОЧИЕ ЗЕРНОВЫЕ;7;Хлебные грузы
18019;ГРЕЧИХА;10;Остальные грузы
18023;ЗЕРНО БОБОВ;7;Хлебные грузы
18038;ЗЕРНО ГОРОХА;7;Хлебные грузы
18042;ЗЕРНО ФАСОЛИ;7;Хлебные грузы
18057;ЗЕРНОВЫЕ, НЕ ПОИМЕНО-ВАННЫЕ В АЛФАВИТЕ;7;Хлебные грузы
18061;ЗЕРНООТХОДЫ;7;Хлебные грузы
18076;НУТ;10;Остальные грузы
18080;ПОЛБА;10;Остальные грузы
18095;ПРОСО;10;Остальные грузы
18108;СМЕСЬ ЗЕРНОВАЯ;7;Хлебные грузы
18112;СОЛОД В ЗЕРНЕ;7;Хлебные грузы
18127;СОРГО (ГАОЛЯН, ДЖУГАРА И ДР.);10;Остальные грузы
18131;ЧЕЧЕВИЦА;10;Остальные грузы
18146;ЧИНА;10;Остальные грузы
18150;ЧУМИЗА;10;Остальные грузы
20004;СЕМЕНА;10;Остальные грузы
21007;СЕМЕНА ТЕХНИЧЕСКИХ КУЛЬТУР, КРОМЕ СЕМЯН ХЛОПЧАТНИКА;10;Остальные грузы
21011;ГОЛОВКИ МАКОВЫЕ С ЗЕРНОМ;7;Хлебные грузы
21026;ЗЕРНА ПАЛЬМОВЫЕ;10;Остальные грузы
21030;ЗЕРНО МАКА;7;Хлебные грузы
21045;СЕМЕНА КЕНАФА;10;Остальные грузы
21054;СЕМЕНА КОНОПЛИ;10;Остальные грузы
21064;СЕМЕНА КУНЖУТА;10;Остальные грузы
21079;СЕМЕНА ЛЬНА;10;Остальные грузы
21083;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
21098;СЕМЕНА ПОДСОЛНЕЧНИКА;10;Остальные грузы
21100;СЕМЕНА СОИ;10;Остальные грузы
21115;СЕМЕНА ФЕНХЕЛЯ;10;Остальные грузы
21120;СЕМЯ КОРИАНДРОВОЕ (КИШНЕЦ);10;Остальные грузы
21134;ШАПКИ ПОДСОЛНЕЧНИКА С СЕМЕНАМИ;10;Остальные грузы
21149;СЕМЕНА КЛЕЩЕВИНЫ;10;Остальные грузы
22007;СЕМЕНА ХЛОПЧАТНИКА;10;Остальные грузы
23002;СЕМЕНА СВЕКЛЫ САХАРНОЙ;10;Остальные грузы
24005;СЕМЕНА ПРОЧИЕ;10;Остальные грузы
24012;ЖЕЛУДИ СУШЕНЫЕ И СЫРЫЕ;10;Остальные грузы
24024;СЕМЕНА КЛЕВЕРА;10;Остальные грузы
24039;СЕМЕНА КОРМОВЫХ ТРАВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
24043;СЕМЕНА ЛЕКАРСТВЕННЫХ КУЛЬТУР;10;Остальные грузы
24058;СЕМЕНА ЛЮПИНА;10;Остальные грузы
24062;СЕМЕНА ЛЮЦЕРНЫ;10;Остальные грузы
24077;СЕМЕНА ОВОЩНЫХ И БАХЧЕВЫХ КУЛЬТУР;10;Остальные грузы
24081;СЕМЕНА ТАБАКА;10;Остальные грузы
24096;СЕМЕНА ТИМОФЕЕВКИ;10;Остальные грузы
24109;СЕМЕНА ТМИНА;10;Остальные грузы
24113;СЕМЕНА ТЫКВЫ;10;Остальные грузы
24128;СЕМЕНА ЦВЕТОЧНЫХ КУЛЬТУР;10;Остальные грузы
24132;СЕМЕНА ЧАЯ;10;Остальные грузы
24147;СПОРЫ ГРИБОВ ШАМПИНЬОНОВ;10;Остальные грузы
30006;ХЛОПЧАТНИК;10;Остальные грузы
31009;ХЛОПОК-СЫРЕЦ;10;Остальные грузы
