ОКПО;ИНН;Грузоотправитель;Холдинг грузоотправителя
7774963;7729634801;1470 УМТО, АО;Прочие
30495105;7701794058;17, РСП;Прочие
11860177;5404468202;32 ЗЕРНОПРОДУКТ, ООО;Прочие
48802654;5009002001;342 МЗ, АО;Прочие
81842100;2339016896;PROFF-СТАЛЬ, ООО;Прочие
28621117;5402043606;А 1, ООО;Прочие
93645824;5074032239;А ГРУПП ЛОГИСТИК, ООО;Прочие
33985944;2221223129;А ГРУПП, ООО;Прочие
87610460;7717625418;А ГРУПП, ООО;Прочие
26085471;3818014880;А-Т, АО;Прочие
32562107;2222870182;А-ТРАНС, ООО;Прочие
34300943;7839498929;А-ФОРВАРДИНГ, ООО;Прочие
35686138;2537009308;А.С.ЮНИОН, ООО;Прочие
69926892;4401126706;ААА ЛОГИСТИК-КОСТРОМА, ООО;Прочие
39890926;2543088347;ААРОН, ООО;Прочие
70449753;5020037784;АБ ИНБЕВ ЭФЕС, АО;"АО ""АБ ИНБЕВ ЭФЕС"""
31726570;2543127701;АБК, ООО;Прочие
79454321;7727558640;АВ-ТЕХНОЛОГИЯ, АО;Прочие
42881084;7720314451;АВАЛ, ООО;Прочие
25634303;5261009695;АВАНГАРД ( ООО );Прочие
64081326;2417003777;АВАНГАРД ПЛЮС, ООО;Прочие
43788754;3805735074;АВАНГАРД+, ООО;Прочие
15086964;2454026934;АВАНГАРД, ООО;Прочие
18281885;5029223200;АВАНГАРД, ООО;Прочие
90411149;1101089409;АВАНГАРД, ООО;Прочие
78750251;4607004691;АВАНГАРД-АГРО-КУРСК, ООО;Прочие
71961743;5722033156;АВАНГАРД-АГРО-ОРЕЛ, ООО;Прочие
39005031;7107553032;АВАНГАРД-АГРО-ТУЛА, ООО;Прочие
32610289;7728442744;АВАТАР, ООО;Прочие
50127160;4408003044;АВГУСТ, ООО;Прочие
15256573;2539057699;АВЕСТА, ООО;"ООО ""ПРИМОРСКОПТХИМПОЛИМЕР"""
55955281;5040174242;АВИА-ТЕРМИНАЛ, ООО;Прочие
58016916;7725172747;АВИАФЛЮИД ИНТЕРНЕШНЛ, ООО;Прочие
57812344;5911083593;АВИСМА, ООО;Прочие
20973058;6316001724;АВИТЕКС, ООО НПК;Прочие
67437551;7801525010;АВК, ООО;Прочие
65183299;7708712551;АВК-ТРАНС, ООО;Прочие
43406793;2536321867;АВРК, ООО;Прочие
56116625;2801270066;АВРОРА, ООО;Прочие
47800877;3618003426;АВС ФАРБЕН, ЗАО;Прочие
85963510;3016056653;АВС, ООО;Прочие
57823709;2311321681;АВТО ДВ, ООО;Прочие
