Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
1000;ПЕТРОЗАВОДСК;ПЕТРОЗАВОДСК;Карелия;Республика Карелия;Республика;ОКТ
1030;ТОМИЦЫ;ТОМИЦЫ;Карелия;Республика Карелия;Республика;ОКТ
1040;ШУЙСКАЯ;ШУЙСКАЯ;Карелия;Республика Карелия;Республика;ОКТ
1050;СУНА;СУНА;Карелия;Республика Карелия;Республика;ОКТ
1060;ЗАДЕЛЬЕ;ЗАДЕЛЬЕ;Карелия;Республика Карелия;Республика;ОКТ
1070;КОНДОПОГА;КОНДОПОГА;Карелия;Республика Карелия;Республика;ОКТ
1080;КЕДРОЗЕРО;КЕДРОЗЕРО;Карелия;Республика Карелия;Республика;ОКТ
1090;НИГОЗЕРО;НИГОЗЕРО;Карелия;Республика Карелия;Республика;ОКТ
1100;КЯППЕСЕЛЬГА;КЯППЕСЕЛЬГА;Карелия;Республика Карелия;Республика;ОКТ
1110;ПЕРГУБА;ПЕРГУБА;Карелия;Республика Карелия;Республика;ОКТ
1130;МЕДВЕЖ. ГОРА;МЕДВЕЖ. ГОРА;Карелия;Республика Карелия;Республика;ОКТ
1140;ВИЧКА;ВИЧКА;Карелия;Республика Карелия;Республика;ОКТ
1150;НОВ.ПОСЕЛОК;НОВ.ПОСЕЛОК;Карелия;Республика Карелия;Республика;ОКТ
1180;СЕГЕЖА;СЕГЕЖА;Карелия;Республика Карелия;Республика;ОКТ
1181;МАЙ-ГУБА;МАЙ-ГУБА;Карелия;Республика Карелия;Республика;ОКТ
1190;НАДВОИЦЫ;НАДВОИЦЫ;Карелия;Республика Карелия;Республика;ОКТ
1200;КОЧКОМА;КОЧКОМА;Карелия;Республика Карелия;Республика;ОКТ
1210;ИДЕЛЬ;ИДЕЛЬ;Карелия;Республика Карелия;Республика;ОКТ
1211;ТУНГУДА;ТУНГУДА;Карелия;Республика Карелия;Республика;ОКТ
1220;ЛЕТНИЙ;ЛЕТНИЙ;Карелия;Республика Карелия;Республика;ОКТ
1230;СОСНОВЕЦ;СОСНОВЕЦ;Карелия;Республика Карелия;Республика;ОКТ
1270;СУМСК.ПОСАД;СУМСК.ПОСАД;Карелия;Республика Карелия;Республика;ОКТ
1300;БЕЛОМОРСК;БЕЛОМОРСК;Карелия;Республика Карелия;Республика;ОКТ
1320;КЕМЬ;КЕМЬ;Карелия;Республика Карелия;Республика;ОКТ
1323;ПОНЬГОМА;ПОНЬГОМА;Карелия;Республика Карелия;Республика;ОКТ
1350;КУЗЕМА;КУЗЕМА;Карелия;Республика Карелия;Республика;ОКТ
1360;ЭНГОЗЕРО;ЭНГОЗЕРО;Карелия;Республика Карелия;Республика;ОКТ
1370;АМБАРНЫЙ;АМБАРНЫЙ;Карелия;Республика Карелия;Республика;ОКТ
1371;БОЯРСКАЯ;БОЯРСКАЯ;Карелия;Республика Карелия;Республика;ОКТ
1380;ЛОУХИ;ЛОУХИ;Карелия;Республика Карелия;Республика;ОКТ
1410;ПЯОЗЕРО;ПЯОЗЕРО;Карелия;Республика Карелия;Республика;ОКТ
1430;ЧУПА;ЧУПА;Карелия;Республика Карелия;Республика;ОКТ
1440;КНЯЖАЯ;КНЯЖАЯ;Мурманская;Мурманская область;Область;ОКТ
1445;РУЧЬИ-КАРЕЛ.;РУЧЬИ-КАРЕЛ.;Мурманская;Мурманская область;Область;ОКТ
1470;АЛАКУРТТИ;АЛАКУРТТИ;Мурманская;Мурманская область;Область;ОКТ
1480;БЕЛОЕ МОРЕ;БЕЛОЕ МОРЕ;Мурманская;Мурманская область;Область;ОКТ
