Код;Наименование;Код группы груза
10002;ЗЕРНОВЫЕ И ЗЕРНОБОБОВЫЕ КУЛЬТУРЫ
11005;ПШЕНИЦА
12008;РОЖЬ
13000;ОВЕС
14003;ЯЧМЕНЬ
15006;ЗЕРНО КУКУРУЗЫ
16009;ПОЧАТКИ КУКУРУЗЫ
17001;РИС
17016;РИС НЕШЕЛУШЕНЫЙ (РИС-СЫРЕЦ)
17020;РИС ШЕЛУШЕНЫЙ (НЕПОЛИРОВАННЫЙ РИС)
17035;РИС ПРОЧИЙ
18004;ПРОЧИЕ ЗЕРНОВЫЕ
18019;ГРЕЧИХА
18023;ЗЕРНО БОБОВ
18038;ЗЕРНО ГОРОХА
18042;ЗЕРНО ФАСОЛИ
18057;ЗЕРНОВЫЕ, НЕ ПОИМЕНО-ВАННЫЕ В АЛФАВИТЕ
18061;ЗЕРНООТХОДЫ
18076;НУТ
18080;ПОЛБА
18095;ПРОСО
18108;СМЕСЬ ЗЕРНОВАЯ
18112;СОЛОД В ЗЕРНЕ
18127;СОРГО (ГАОЛЯН, ДЖУГАРА И ДР.)
18131;ЧЕЧЕВИЦА
18146;ЧИНА
18150;ЧУМИЗА
20004;СЕМЕНА
21007;СЕМЕНА ТЕХНИЧЕСКИХ КУЛЬТУР, КРОМЕ СЕМЯН ХЛОПЧАТНИКА
21011;ГОЛОВКИ МАКОВЫЕ С ЗЕРНОМ
21026;ЗЕРНА ПАЛЬМОВЫЕ
21030;ЗЕРНО МАКА
21045;СЕМЕНА КЕНАФА
21054;СЕМЕНА КОНОПЛИ
21064;СЕМЕНА КУНЖУТА
21079;СЕМЕНА ЛЬНА
21083;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
21098;СЕМЕНА ПОДСОЛНЕЧНИКА
21100;СЕМЕНА СОИ
21115;СЕМЕНА ФЕНХЕЛЯ
21120;СЕМЯ КОРИАНДРОВОЕ (КИШНЕЦ)
21134;ШАПКИ ПОДСОЛНЕЧНИКА С СЕМЕНАМИ
21149;СЕМЕНА КЛЕЩЕВИНЫ
22007;СЕМЕНА ХЛОПЧАТНИКА
23002;СЕМЕНА СВЕКЛЫ САХАРНОЙ
24005;СЕМЕНА ПРОЧИЕ
24012;ЖЕЛУДИ СУШЕНЫЕ И СЫРЫЕ
24024;СЕМЕНА КЛЕВЕРА
24039;СЕМЕНА КОРМОВЫХ ТРАВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
24043;СЕМЕНА ЛЕКАРСТВЕННЫХ КУЛЬТУР
24058;СЕМЕНА ЛЮПИНА
24062;СЕМЕНА ЛЮЦЕРНЫ
24077;СЕМЕНА ОВОЩНЫХ И БАХЧЕВЫХ КУЛЬТУР
24081;СЕМЕНА ТАБАКА
24096;СЕМЕНА ТИМОФЕЕВКИ
24109;СЕМЕНА ТМИНА
24113;СЕМЕНА ТЫКВЫ
24128;СЕМЕНА ЦВЕТОЧНЫХ КУЛЬТУР
24132;СЕМЕНА ЧАЯ
24147;СПОРЫ ГРИБОВ ШАМПИНЬОНОВ
30006;ХЛОПЧАТНИК
31009;ХЛОПОК-СЫРЕЦ
40008;ОВОЩИ, КАРТОФЕЛЬ, БАХЧЕВЫЕ КУЛЬТУРЫ СВЕЖИЕ, СВЕКЛА САХАРНАЯ
41000;ОВОЩИ СВЕЖИЕ
41015;АРТИШОК СВЕЖИЙ
41022;БАКЛАЖАНЫ СВЕЖИЕ
41034;БОБЫ ОВОЩНЫЕ СВЕЖИЕ
41049;БРЮКВА СВЕЖАЯ
41053;ГОРОХ ОВОЩНОЙ СВЕЖИЙ
41068;ГРИБЫ, В ТОМ ЧИСЛЕ ШАМПИНЬОНЫ, СВЕЖИЕ
41072;КОРНЕПЛОДЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
41087;КАБАЧКИ СВЕЖИЕ
41091;КАПУСТА СВЕЖАЯ
41104;ЛУК ЗЕЛЕНЫЙ, В ТОМ ЧИСЛЕ ПОРЕЙ
41119;ЛУК РЕПЧАТЫЙ И СЕЯНЕЦ
41123;ОВОЩИ СВЕЖЕМОРОЖЕНЫЕ
41138;ОВОЩИ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
41142;ОГУРЦЫ СВЕЖИЕ
41157;ПАСТЕРНАК СВЕЖИЙ
41161;ПЕРЕЦ (В СТРУЧКАХ) СВЕЖИЙ
41176;ПЕТРУШКА СВЕЖАЯ
41180;МОРКОВЬ СВЕЖАЯ
41195;ТОМАТЫ (ПОМИДОРЫ) СВЕЖИЕ
41208;РЕВЕНЬ ОВОЩНОЙ СВЕЖИЙ
41212;РЕДИС СВЕЖИЙ
41227;РЕДЬКА СВЕЖАЯ
41231;РЕПА СВЕЖАЯ
41246;САЛАТ СВЕЖИЙ
41250;СВЕКЛА КОРМОВАЯ СВЕЖАЯ
41265;СВЕКЛА СТОЛОВАЯ СВЕЖАЯ
41275;СЕЛЬДЕРЕЙ СВЕЖИЙ
41284;СПАРЖА СВЕЖАЯ
41299;ТУРНЕПС СВЕЖИЙ
41301;УКРОП СВЕЖИЙ
41316;ФАСОЛЬ ОВОЩНАЯ СВЕЖАЯ
41320;ХРЕН СВЕЖИЙ
41335;ЦИКОРИЙ СВЕЖИЙ
41341;ЧЕСНОК СВЕЖИЙ
41354;ШПИНАТ СВЕЖИЙ
41369;ЩАВЕЛЬ СВЕЖИЙ
42003;БАХЧЕВЫЕ КУЛЬТУРЫ
42018;АРБУЗЫ СВЕЖИЕ
42022;ДЫНИ СВЕЖИЕ
42037;ТЫКВА СВЕЖАЯ
43006;КАРТОФЕЛЬ СВЕЖИЙ
43010;КАРТОФЕЛЬ РАННИЙ
43025;КАРТОФЕЛЬ ПОЗДНИЙ
43038;КАРТОФЕЛЬ СЕМЕННОЙ
44009;СВЕКЛА САХАРНАЯ
50009;ФРУКТЫ И ЯГОДЫ СВЕЖИЕ. ОРЕХИ
51002;ФРУКТЫ И ЯГОДЫ СВЕЖИЕ, КРОМЕ ЯБЛОК И ЦИТРУСОВЫХ
51017;АБРИКОСЫ СВЕЖИЕ
51021;АЙВА СВЕЖАЯ
51036;АЛЫЧА СВЕЖАЯ
51040;АНАНАСЫ СВЕЖИЕ
51055;БАНАНЫ СВЕЖИЕ
51061;БАРБАРИС СВЕЖИЙ
51074;БРУСНИКА СВЕЖАЯ
51089;БРУСНИКА СВЕЖЕМОРОЖЕНАЯ
51093;ВИНОГРАД СВЕЖИЙ
51106;ВИШНИ СВЕЖИЕ
51110;ГРАНАТЫ (ПЛОДЫ)
51125;ГРУШИ СВЕЖИЕ
51138;ЗЕМЛЯНИКА СВЕЖАЯ
51144;КИЗИЛ СВЕЖИЙ
51159;КЛЮКВА СВЕЖАЯ
51163;КЛЮКВА СВЕЖЕМОРОЖЕНАЯ
51178;КРЫЖОВНИК СВЕЖИЙ
51182;МАЛИНА СВЕЖАЯ
51197;МАСЛИНЫ (ОЛИВКИ) СВЕЖИЕ
51204;МУШМУЛА СВЕЖАЯ
51214;ОБЛЕПИХА СВЕЖАЯ
51229;ОБЛЕПИХА СВЕЖЕМОРОЖЕНАЯ
51233;ПЕРСИКИ СВЕЖИЕ
51248;РЯБИНА (ЯГОДЫ) СВЕЖАЯ
51252;РЯБИНА (ЯГОДЫ) СВЕЖЕМОРОЖЕНАЯ
51267;СЛИВЫ СВЕЖИЕ
51271;СМОКВА (ЯГОДЫ ВИННЫЕ, ИНЖИР) СВЕЖАЯ
51286;СМОРОДИНА СВЕЖАЯ
51290;ТЕРН (ТЕРНОВНИК) СВЕЖИЙ
51303;ФРУКТЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
51318;ФРУКТЫ СВЕЖЕМОРОЖЕНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
51322;ХУРМА СВЕЖАЯ
51337;ХУРМА СВЕЖЕМОРОЖЕНАЯ
51341;ЧЕРЕМУХА (ЯГОДЫ) СВЕЖАЯ
51356;ЧЕРЕШНЯ СВЕЖАЯ
51360;ЧЕРНИКА СВЕЖАЯ
51375;ЯГОДЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
51380;ЯГОДЫ СВЕЖЕМОРОЖЕНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
52005;ЯБЛОКИ
52014;ЯБЛОКИ СВЕЖЕМОРОЖЕНЫЕ
52024;ЯБЛОКИ СВЕЖИЕ
53008;ЦИТРУСОВЫЕ
53012;АПЕЛЬСИНЫ СВЕЖИЕ
53027;ГРЕЙПФРУТЫ СВЕЖИЕ
53031;ЛИМОНЫ СВЕЖИЕ
53046;МАНДАРИНЫ СВЕЖИЕ
53050;ПОМЕРАНЦЫ СВЕЖИЕ
53065;ЦИТРУСОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
54000;ОРЕХИ
54015;АРАХИС (ЗЕМЛЯНОЙ ОРЕХ)
54020;КАШТАНЫ
54034;КОПРА (МЯКОТЬ КОКОСОВОГО ОРЕХА)
54049;ОРЕХИ ГРЕЦКИЕ
54053;ОРЕХИ КЕДРОВЫЕ
54068;ОРЕХИ ЛЕЩИННЫЕ (ФУНДУК)
54072;ОРЕХИ МИНДАЛЬНЫЕ (МИНДАЛЬ)
54087;ОРЕХИ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
54091;ОРЕХИ ФИСТАШКОВЫЕ (ФИСТАШКИ)
54104;ЯДРА ОРЕХОВ И ФРУКТОВЫХ КОСТОЧЕК
54119;ОРЕХИ ТУНГОВЫЕ
60001;ЖИВОТНЫЕ, ПТИЦЫ, ПЧЕЛЫ
61004;КРУПНЫЙ И МЕЛКИЙ РОГАТЫЙ СКОТ
61019;БАРАНЫ
61023;БУЙВОЛЫ
61038;БЫКИ
61042;ВОЛЫ
61057;КОЗЫ
61061;КОРОВЫ
61076;ОВЦЫ
61080;СКОТ КРУПНЫЙ РОГАТЫЙ ПЛЕМЕННОЙ
61095;СКОТ КРУПНЫЙ РОГАТЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ
61108;СКОТ МЕЛКИЙ РОГАТЫЙ ПЛЕМЕННОЙ
61112;СКОТ МЕЛКИЙ РОГАТЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ
61127;ТЕЛЯТА
61131;ЯКИ
62007;СВИНЬИ И ПОРОСЯТА
62011;ПОРОСЯТА
62026;СВИНЬИ
62030;СВИНЬИ ПЛЕМЕННЫЕ
63006;ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ЖИВЫЕ И ПЧЕЛЫ
63014;ВЕРБЛЮДЫ
63029;ГРЕНА ТУТОВОГО ШЕЛКОПРЯДА
63033;ЖЕРЕБЯТА
63048;ЖИВОТНЫЕ ДИКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
63052;ЖИВОТНЫЕ ДОМАШНИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
63067;ЖИВОТНЫЕ МОРСКИЕ
63071;КРОЛИКИ
63086;ЛОСИ
63090;ЛОШАДИ
63103;ЛОШАКИ
63118;МУЛЫ
63122;ОЛЕНИ
63137;ОСЛЫ
63141;ПОНИ
63156;ПТИЦА ЖИВАЯ ВСЯКАЯ (ДОМАШНЯЯ И ДИКАЯ)
63160;ПЧЕЛЫ В УЛЬЯХ
63175;СОБАКИ
70003;ПРОЧАЯ ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА
71006;СЕНО, СОЛОМА И КОРМА РАСТИТЕЛЬНЫЕ
71010;КАМЫШ
71025;КОРМА РАСТИТЕЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
71030;КРАПИВА
71044;МОХ
71059;МУКА ТРАВЯНАЯ
71063;ПОЧАТКИ КУКУРУЗНЫЕ ОБРУШЕННЫЕ
71078;СЕНО ПРЕССОВАННОЕ
71082;СИЛОС
71097;СОЛОМА ПРЕССОВАННАЯ
71106;СТЕБЛИ КУКУРУЗЫ И ХЛОПЧАТНИКА
71114;ТРАВЫ КОРМОВЫЕ
71129;ТРОСТНИК
71133;ПОЛОВА
72009;СЫРЬЕ ТАБАКА И МАХОРКИ
72013;ОТХОДЫ ТАБАЧНЫЕ СЫРЫЕ (КРОШКА И ПЫЛЬ)
72028;СЫРЬЕ МАХОРКИ, НЕ ПОИМЕНОВАННОЕ В АЛФАВИТЕ
72032;СЫРЬЕ ТАБАКА
72047;ТАБАК В ЛИСТЬЯХ И КОРЕШКАХ
72051;ТАБАК-СЫРЬЕ ФЕРМЕНТИРОВАННОЕ
73001;КУЛЬТУРЫ ПРЯДИЛЬНЫЕ, КРОМЕ ХЛОПЧАТНИКА
73016;КУЛЬТУРЫ ПРЯДИЛЬНЫЕ ПРОЧИЕ В СТЕБЛЯХ
73020;СОЛОМА ЛЬНА
73035;СТЕБЛИ ДЖУТА
73045;СТЕБЛИ КЕНАФА
73054;СТЕБЛИ КОНОПЛИ
73069;ТРЕСТА КОНОПЛИ
73073;ТРЕСТА ЛЬНА
73088;ТРЕСТА ПРЯДИЛЬНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
74004;СЫРЬЕ ЛЕКАРСТВЕННОЕ РАСТИТЕЛЬНОЕ
74019;АЛОЭ (РАСТЕНИЕ ЛЕКАРСТВЕННОЕ)
74023;ТРАВА АНАБАЗИСА (ЕЖОВНИКА) БЕЗЛИСТНОГО
74038;БОДЯГА (КОЛОНИИ ПРЕСНОВОДНЫХ ГУБОК)
74042;ВОДОРОСЛИ ВСЯКИЕ
74057;ТРАВА ДОННИКА ЛЕКАРСТВЕННОГО
74061;КАПУСТА МОРСКАЯ
74076;КОРА ЛЕКАРСТВЕННЫХ КУЛЬТУР (КАЛИНЫ КРУШИНЫ И ДР.), НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
74080;КОРА ХИННАЯ
74095;КОРОБОЧКИ МАКА С ВЕРХНИМИ ЧАСТЯМИ СТЕБЛЕЙ
74108;КОРНИ ЛЕКАРСТВЕННЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
74112;КОРНИ РЕВЕНЯ
74127;ЛИШАЙНИКИ
74131;МЯТА ПЕРЕЧНАЯ
74146;ПОЛЫНЬ ЦИТВАРНАЯ
74150;ПОЧКИ БЕРЕЗОВЫЕ, СОСНОВЫЕ, ТОПОЛИНЫЕ И ДР.
74165;РАСТЕНИЯ ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
74174;РОМАШКА ВСЯКАЯ
74184;СПОРЫ ПЛАУНА (ЛИКОПОДИЙ)
74199;ТИМЬЯН
74201;ХМЕЛЬ
74216;ЦВЕТ БУЗИНОВЫЙ, ЛИПОВЫЙ
74220;ШИПОВНИК (ЯГОДЫ)
74235;ЯГОДЫ ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
74240;ШИШКОЯГОДЫ (ПЛОДЫ) МОЖЖЕВЕЛЬНИКА ОБЫКНОВЕННОГО
74254;ЛИСТЬЯ СКУМПИИ
75007;РАССАДА ОВОЩНАЯ, ЦВЕТОЧНАЯ, ЯГОДНАЯ. ЦВЕТЫ ЖИВЫЕ И СВЕЖЕСРЕЗАННЫЕ
75011;ЛУКОВИЦЫ (КЛУБНИ) ЦВЕТОЧНЫЕ
75026;МИЦЕЛИЙ ГРИБОВ ШАМПИНЬОНОВ
75030;ПРИВИВКИ (РАСТЕНИЯ)
75045;РАССАДА ОВОЩНАЯ, ЦВЕТОЧНАЯ, ЯГОДНАЯ
75050;РАССАДА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
75064;ЦВЕТЫ ЖИВЫЕ И СВЕЖЕСРЕЗАННЫЕ ВСЯКИЕ
75079;ЧЕРЕНКИ РАСТЕНИЙ
76003;ШЕРСТЬ, ВОЛОС, ПУХ, ПЕРО
76014;ВОЛОС ВСЯКИЙ
76029;ГРИВЫ И ХВОСТЫ
76033;ОТХОДЫ ПЕРА, ПУХА
76048;ПЕРО ПТИЧЬЕ
76052;ПУХ ПТИЦ ВСЯКИХ
76067;ПУХ ЖИВОТНЫХ
76071;ШЕРСТЬ-ЛИНЬКА
76086;ШЕРСТЬ МЫТАЯ
76090;ШЕРСТЬ НЕМЫТАЯ
76103;ЩЕТИНА
77002;КОЖИ, ШКУРЫ И ПУШНИНА НЕВЫДЕЛАННЫЕ
77017;КАРАКУЛЬ НЕВЫДЕЛАННЫЙ
