Код;Наименование;Код группы груза
10002;ЗЕРНОВЫЕ И ЗЕРНОБОБОВЫЕ КУЛЬТУРЫ;7
11005;ПШЕНИЦА;7
12008;РОЖЬ;7
13000;ОВЕС;7
14003;ЯЧМЕНЬ;7
15006;ЗЕРНО КУКУРУЗЫ;7
16009;ПОЧАТКИ КУКУРУЗЫ;10
17001;РИС;7
17016;РИС НЕШЕЛУШЕНЫЙ (РИС-СЫРЕЦ);7
17020;РИС ШЕЛУШЕНЫЙ (НЕПОЛИРОВАННЫЙ РИС);7
17035;РИС ПРОЧИЙ;7
18004;ПРОЧИЕ ЗЕРНОВЫЕ;7
18019;ГРЕЧИХА;10
18023;ЗЕРНО БОБОВ;7
18038;ЗЕРНО ГОРОХА;7
18042;ЗЕРНО ФАСОЛИ;7
18057;ЗЕРНОВЫЕ, НЕ ПОИМЕНО-ВАННЫЕ В АЛФАВИТЕ;7
18061;ЗЕРНООТХОДЫ;7
18076;НУТ;10
18080;ПОЛБА;10
18095;ПРОСО;10
18108;СМЕСЬ ЗЕРНОВАЯ;7
18112;СОЛОД В ЗЕРНЕ;7
18127;СОРГО (ГАОЛЯН, ДЖУГАРА И ДР.);10
18131;ЧЕЧЕВИЦА;10
18146;ЧИНА;10
18150;ЧУМИЗА;10
20004;СЕМЕНА;10
21007;СЕМЕНА ТЕХНИЧЕСКИХ КУЛЬТУР, КРОМЕ СЕМЯН ХЛОПЧАТНИКА;10
21011;ГОЛОВКИ МАКОВЫЕ С ЗЕРНОМ;7
21026;ЗЕРНА ПАЛЬМОВЫЕ;10
21030;ЗЕРНО МАКА;7
21045;СЕМЕНА КЕНАФА;10
21054;СЕМЕНА КОНОПЛИ;10
21064;СЕМЕНА КУНЖУТА;10
21079;СЕМЕНА ЛЬНА;10
21083;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
21098;СЕМЕНА ПОДСОЛНЕЧНИКА;10
21100;СЕМЕНА СОИ;10
21115;СЕМЕНА ФЕНХЕЛЯ;10
21120;СЕМЯ КОРИАНДРОВОЕ (КИШНЕЦ);10
21134;ШАПКИ ПОДСОЛНЕЧНИКА С СЕМЕНАМИ;10
21149;СЕМЕНА КЛЕЩЕВИНЫ;10
22007;СЕМЕНА ХЛОПЧАТНИКА;10
23002;СЕМЕНА СВЕКЛЫ САХАРНОЙ;10
24005;СЕМЕНА ПРОЧИЕ;10
24012;ЖЕЛУДИ СУШЕНЫЕ И СЫРЫЕ;10
24024;СЕМЕНА КЛЕВЕРА;10
24039;СЕМЕНА КОРМОВЫХ ТРАВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
24043;СЕМЕНА ЛЕКАРСТВЕННЫХ КУЛЬТУР;10
24058;СЕМЕНА ЛЮПИНА;10
24062;СЕМЕНА ЛЮЦЕРНЫ;10
24077;СЕМЕНА ОВОЩНЫХ И БАХЧЕВЫХ КУЛЬТУР;10
24081;СЕМЕНА ТАБАКА;10
24096;СЕМЕНА ТИМОФЕЕВКИ;10
24109;СЕМЕНА ТМИНА;10
24113;СЕМЕНА ТЫКВЫ;10
24128;СЕМЕНА ЦВЕТОЧНЫХ КУЛЬТУР;10
24132;СЕМЕНА ЧАЯ;10
24147;СПОРЫ ГРИБОВ ШАМПИНЬОНОВ;10
30006;ХЛОПЧАТНИК;10
31009;ХЛОПОК-СЫРЕЦ;10
40008;ОВОЩИ, КАРТОФЕЛЬ, БАХЧЕВЫЕ КУЛЬТУРЫ СВЕЖИЕ, СВЕКЛА САХАРНАЯ;10
41000;ОВОЩИ СВЕЖИЕ;10
41015;АРТИШОК СВЕЖИЙ;10
41022;БАКЛАЖАНЫ СВЕЖИЕ;10
41034;БОБЫ ОВОЩНЫЕ СВЕЖИЕ;10
41049;БРЮКВА СВЕЖАЯ;10
41053;ГОРОХ ОВОЩНОЙ СВЕЖИЙ;7
41068;ГРИБЫ, В ТОМ ЧИСЛЕ ШАМПИНЬОНЫ, СВЕЖИЕ;10
41072;КОРНЕПЛОДЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
41087;КАБАЧКИ СВЕЖИЕ;10
41091;КАПУСТА СВЕЖАЯ;10
41104;ЛУК ЗЕЛЕНЫЙ, В ТОМ ЧИСЛЕ ПОРЕЙ;10
41119;ЛУК РЕПЧАТЫЙ И СЕЯНЕЦ;10
41123;ОВОЩИ СВЕЖЕМОРОЖЕНЫЕ;10
41138;ОВОЩИ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
41142;ОГУРЦЫ СВЕЖИЕ;10
41157;ПАСТЕРНАК СВЕЖИЙ;10
41161;ПЕРЕЦ (В СТРУЧКАХ) СВЕЖИЙ;10
41176;ПЕТРУШКА СВЕЖАЯ;10
41180;МОРКОВЬ СВЕЖАЯ;10
41195;ТОМАТЫ (ПОМИДОРЫ) СВЕЖИЕ;10
41208;РЕВЕНЬ ОВОЩНОЙ СВЕЖИЙ;10
41212;РЕДИС СВЕЖИЙ;10
41227;РЕДЬКА СВЕЖАЯ;10
41231;РЕПА СВЕЖАЯ;10
41246;САЛАТ СВЕЖИЙ;10
41250;СВЕКЛА КОРМОВАЯ СВЕЖАЯ;10
41265;СВЕКЛА СТОЛОВАЯ СВЕЖАЯ;10
41275;СЕЛЬДЕРЕЙ СВЕЖИЙ;10
41284;СПАРЖА СВЕЖАЯ;10
41299;ТУРНЕПС СВЕЖИЙ;10
41301;УКРОП СВЕЖИЙ;10
41316;ФАСОЛЬ ОВОЩНАЯ СВЕЖАЯ;10
41320;ХРЕН СВЕЖИЙ;10
41335;ЦИКОРИЙ СВЕЖИЙ;10
41341;ЧЕСНОК СВЕЖИЙ;10
41354;ШПИНАТ СВЕЖИЙ;10
41369;ЩАВЕЛЬ СВЕЖИЙ;10
42003;БАХЧЕВЫЕ КУЛЬТУРЫ;10
42018;АРБУЗЫ СВЕЖИЕ;10
42022;ДЫНИ СВЕЖИЕ;10
42037;ТЫКВА СВЕЖАЯ;10
43006;КАРТОФЕЛЬ СВЕЖИЙ;10
43010;КАРТОФЕЛЬ РАННИЙ;10
43025;КАРТОФЕЛЬ ПОЗДНИЙ;10
43038;КАРТОФЕЛЬ СЕМЕННОЙ;10
44009;СВЕКЛА САХАРНАЯ;10
50009;ФРУКТЫ И ЯГОДЫ СВЕЖИЕ. ОРЕХИ;10
51002;ФРУКТЫ И ЯГОДЫ СВЕЖИЕ, КРОМЕ ЯБЛОК И ЦИТРУСОВЫХ;10
51017;АБРИКОСЫ СВЕЖИЕ;10
51021;АЙВА СВЕЖАЯ;10
51036;АЛЫЧА СВЕЖАЯ;10
51040;АНАНАСЫ СВЕЖИЕ;10
51055;БАНАНЫ СВЕЖИЕ;10
51061;БАРБАРИС СВЕЖИЙ;7
51074;БРУСНИКА СВЕЖАЯ;4
51089;БРУСНИКА СВЕЖЕМОРОЖЕНАЯ;4
51093;ВИНОГРАД СВЕЖИЙ;10
51106;ВИШНИ СВЕЖИЕ;10
51110;ГРАНАТЫ (ПЛОДЫ);10
51125;ГРУШИ СВЕЖИЕ;10
51138;ЗЕМЛЯНИКА СВЕЖАЯ;10
51144;КИЗИЛ СВЕЖИЙ;10
51159;КЛЮКВА СВЕЖАЯ;10
51163;КЛЮКВА СВЕЖЕМОРОЖЕНАЯ;10
51178;КРЫЖОВНИК СВЕЖИЙ;10
51182;МАЛИНА СВЕЖАЯ;10
51197;МАСЛИНЫ (ОЛИВКИ) СВЕЖИЕ;10
51204;МУШМУЛА СВЕЖАЯ;10
51214;ОБЛЕПИХА СВЕЖАЯ;10
51229;ОБЛЕПИХА СВЕЖЕМОРОЖЕНАЯ;10
51233;ПЕРСИКИ СВЕЖИЕ;10
51248;РЯБИНА (ЯГОДЫ) СВЕЖАЯ;10
51252;РЯБИНА (ЯГОДЫ) СВЕЖЕМОРОЖЕНАЯ;10
51267;СЛИВЫ СВЕЖИЕ;10
51271;СМОКВА (ЯГОДЫ ВИННЫЕ, ИНЖИР) СВЕЖАЯ;10
51286;СМОРОДИНА СВЕЖАЯ;10
51290;ТЕРН (ТЕРНОВНИК) СВЕЖИЙ;10
51303;ФРУКТЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
51318;ФРУКТЫ СВЕЖЕМОРОЖЕНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
51322;ХУРМА СВЕЖАЯ;10
51337;ХУРМА СВЕЖЕМОРОЖЕНАЯ;10
51341;ЧЕРЕМУХА (ЯГОДЫ) СВЕЖАЯ;10
51356;ЧЕРЕШНЯ СВЕЖАЯ;10
51360;ЧЕРНИКА СВЕЖАЯ;10
51375;ЯГОДЫ СВЕЖИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
51380;ЯГОДЫ СВЕЖЕМОРОЖЕНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
52005;ЯБЛОКИ;10
52014;ЯБЛОКИ СВЕЖЕМОРОЖЕНЫЕ;10
52024;ЯБЛОКИ СВЕЖИЕ;10
53008;ЦИТРУСОВЫЕ;10
53012;АПЕЛЬСИНЫ СВЕЖИЕ;10
53027;ГРЕЙПФРУТЫ СВЕЖИЕ;10
53031;ЛИМОНЫ СВЕЖИЕ;10
53046;МАНДАРИНЫ СВЕЖИЕ;10
53050;ПОМЕРАНЦЫ СВЕЖИЕ;10
53065;ЦИТРУСОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
54000;ОРЕХИ;10
54015;АРАХИС (ЗЕМЛЯНОЙ ОРЕХ);10
54020;КАШТАНЫ;10
54034;КОПРА (МЯКОТЬ КОКОСОВОГО ОРЕХА);10
54049;ОРЕХИ ГРЕЦКИЕ;10
54053;ОРЕХИ КЕДРОВЫЕ;10
54068;ОРЕХИ ЛЕЩИННЫЕ (ФУНДУК);10
54072;ОРЕХИ МИНДАЛЬНЫЕ (МИНДАЛЬ);10
54087;ОРЕХИ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
54091;ОРЕХИ ФИСТАШКОВЫЕ (ФИСТАШКИ);10
54104;ЯДРА ОРЕХОВ И ФРУКТОВЫХ КОСТОЧЕК;10
54119;ОРЕХИ ТУНГОВЫЕ;10
60001;ЖИВОТНЫЕ, ПТИЦЫ, ПЧЕЛЫ;10
61004;КРУПНЫЙ И МЕЛКИЙ РОГАТЫЙ СКОТ;10
61019;БАРАНЫ;10
61023;БУЙВОЛЫ;10
61038;БЫКИ;10
61042;ВОЛЫ;10
61057;КОЗЫ;10
61061;КОРОВЫ;10
61076;ОВЦЫ;10
61080;СКОТ КРУПНЫЙ РОГАТЫЙ ПЛЕМЕННОЙ;10
61095;СКОТ КРУПНЫЙ РОГАТЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
61108;СКОТ МЕЛКИЙ РОГАТЫЙ ПЛЕМЕННОЙ;10
61112;СКОТ МЕЛКИЙ РОГАТЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
61127;ТЕЛЯТА;10
61131;ЯКИ;10
62007;СВИНЬИ И ПОРОСЯТА;10
62011;ПОРОСЯТА;10
62026;СВИНЬИ;10
62030;СВИНЬИ ПЛЕМЕННЫЕ;10
63006;ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ЖИВЫЕ И ПЧЕЛЫ;10
63014;ВЕРБЛЮДЫ;10
63029;ГРЕНА ТУТОВОГО ШЕЛКОПРЯДА;10
63033;ЖЕРЕБЯТА;10
63048;ЖИВОТНЫЕ ДИКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
63052;ЖИВОТНЫЕ ДОМАШНИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
63067;ЖИВОТНЫЕ МОРСКИЕ;10
63071;КРОЛИКИ;10
63086;ЛОСИ;10
63090;ЛОШАДИ;10
63103;ЛОШАКИ;10
63118;МУЛЫ;10
63122;ОЛЕНИ;10
63137;ОСЛЫ;10
63141;ПОНИ;10
63156;ПТИЦА ЖИВАЯ ВСЯКАЯ (ДОМАШНЯЯ И ДИКАЯ);10
63160;ПЧЕЛЫ В УЛЬЯХ;10
63175;СОБАКИ;10
70003;ПРОЧАЯ ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА;10
71006;СЕНО, СОЛОМА И КОРМА РАСТИТЕЛЬНЫЕ;10
71010;КАМЫШ;10
71025;КОРМА РАСТИТЕЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
71030;КРАПИВА;10
71044;МОХ;10
71059;МУКА ТРАВЯНАЯ;7
71063;ПОЧАТКИ КУКУРУЗНЫЕ ОБРУШЕННЫЕ;10
71078;СЕНО ПРЕССОВАННОЕ;10
71082;СИЛОС;10
71097;СОЛОМА ПРЕССОВАННАЯ;10
71106;СТЕБЛИ КУКУРУЗЫ И ХЛОПЧАТНИКА;10
71114;ТРАВЫ КОРМОВЫЕ;10
71129;ТРОСТНИК;10
71133;ПОЛОВА;10
72009;СЫРЬЕ ТАБАКА И МАХОРКИ;10
72013;ОТХОДЫ ТАБАЧНЫЕ СЫРЫЕ (КРОШКА И ПЫЛЬ);10
72028;СЫРЬЕ МАХОРКИ, НЕ ПОИМЕНОВАННОЕ В АЛФАВИТЕ;10
72032;СЫРЬЕ ТАБАКА;10
72047;ТАБАК В ЛИСТЬЯХ И КОРЕШКАХ;10
72051;ТАБАК-СЫРЬЕ ФЕРМЕНТИРОВАННОЕ;10
73001;КУЛЬТУРЫ ПРЯДИЛЬНЫЕ, КРОМЕ ХЛОПЧАТНИКА;10
73016;КУЛЬТУРЫ ПРЯДИЛЬНЫЕ ПРОЧИЕ В СТЕБЛЯХ;10
73020;СОЛОМА ЛЬНА;10
73035;СТЕБЛИ ДЖУТА;10
73045;СТЕБЛИ КЕНАФА;10
73054;СТЕБЛИ КОНОПЛИ;10
73069;ТРЕСТА КОНОПЛИ;10
73073;ТРЕСТА ЛЬНА;10
73088;ТРЕСТА ПРЯДИЛЬНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
74004;СЫРЬЕ ЛЕКАРСТВЕННОЕ РАСТИТЕЛЬНОЕ;10
74019;АЛОЭ (РАСТЕНИЕ ЛЕКАРСТВЕННОЕ);10
74023;ТРАВА АНАБАЗИСА (ЕЖОВНИКА) БЕЗЛИСТНОГО;10
74038;БОДЯГА (КОЛОНИИ ПРЕСНОВОДНЫХ ГУБОК);10
74042;ВОДОРОСЛИ ВСЯКИЕ;10
74057;ТРАВА ДОННИКА ЛЕКАРСТВЕННОГО;10
74061;КАПУСТА МОРСКАЯ;10
74076;КОРА ЛЕКАРСТВЕННЫХ КУЛЬТУР (КАЛИНЫ КРУШИНЫ И ДР.), НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
74080;КОРА ХИННАЯ;10
74095;КОРОБОЧКИ МАКА С ВЕРХНИМИ ЧАСТЯМИ СТЕБЛЕЙ;10
74108;КОРНИ ЛЕКАРСТВЕННЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
74112;КОРНИ РЕВЕНЯ;10
74127;ЛИШАЙНИКИ;10
74131;МЯТА ПЕРЕЧНАЯ;10
74146;ПОЛЫНЬ ЦИТВАРНАЯ;10
74150;ПОЧКИ БЕРЕЗОВЫЕ, СОСНОВЫЕ, ТОПОЛИНЫЕ И ДР.;10
74165;РАСТЕНИЯ ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
74174;РОМАШКА ВСЯКАЯ;10
74184;СПОРЫ ПЛАУНА (ЛИКОПОДИЙ);10
74199;ТИМЬЯН;10
74201;ХМЕЛЬ;10
74216;ЦВЕТ БУЗИНОВЫЙ, ЛИПОВЫЙ;10
74220;ШИПОВНИК (ЯГОДЫ);10
74235;ЯГОДЫ ЛЕКАРСТВЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
74240;ШИШКОЯГОДЫ (ПЛОДЫ) МОЖЖЕВЕЛЬНИКА ОБЫКНОВЕННОГО;10
74254;ЛИСТЬЯ СКУМПИИ;10
75007;РАССАДА ОВОЩНАЯ, ЦВЕТОЧНАЯ, ЯГОДНАЯ. ЦВЕТЫ ЖИВЫЕ И СВЕЖЕСРЕЗАННЫЕ;10
75011;ЛУКОВИЦЫ (КЛУБНИ) ЦВЕТОЧНЫЕ;10
75026;МИЦЕЛИЙ ГРИБОВ ШАМПИНЬОНОВ;10
75030;ПРИВИВКИ (РАСТЕНИЯ);10
75045;РАССАДА ОВОЩНАЯ, ЦВЕТОЧНАЯ, ЯГОДНАЯ;10
75050;РАССАДА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
75064;ЦВЕТЫ ЖИВЫЕ И СВЕЖЕСРЕЗАННЫЕ ВСЯКИЕ;10
75079;ЧЕРЕНКИ РАСТЕНИЙ;10
76003;ШЕРСТЬ, ВОЛОС, ПУХ, ПЕРО;10
76014;ВОЛОС ВСЯКИЙ;10
76029;ГРИВЫ И ХВОСТЫ;10
76033;ОТХОДЫ ПЕРА, ПУХА;10
76048;ПЕРО ПТИЧЬЕ;10
76052;ПУХ ПТИЦ ВСЯКИХ;10
76067;ПУХ ЖИВОТНЫХ;10
76071;ШЕРСТЬ-ЛИНЬКА;10
76086;ШЕРСТЬ МЫТАЯ;10
76090;ШЕРСТЬ НЕМЫТАЯ;10
76103;ЩЕТИНА;10
