Код дороги;Наименование железной дороги;Страна;Направление
АЗР;Азербайджанская;Азербайджан;Юг
КЗХ;Алма-Атин;Казахстан;Юг
АРМ;Армянская;Армения;Юг
БЕЛ;Белорусская;Беларусь;Северо-Запад
ВСБ;Восточно-Сибирская;Россия;
ГОР;Горьковская;Россия;
ГРЗ;Грузинская;Грузия;
ДВС;Дальневосточная;Россия;
ДОН;Донецкая;Украина;выф
ЗАБ;Забайкальская;Россия;Восток
КЗХ;Западно-Казахстанская;Казахстан;Юг
ЗСБ;Западно-Сибирская;Россия;Юг
КЗХ;Казахстанские;Казахстан;Восток
КЛГ;Калининградская;Россия;Северо-Запад
КРС;Красноярская;Россия;Восток
КБШ;Куйбышевская;Россия;Юг
КРГ;Кыргызская;Киргизия;Юг
ЛАТ;Латвийская;Латвия;Северо-Запад
ЛИТ;Литовская;Литва;Северо-Запад
ЛЬВ;Львовская;Украина;Северо-Запад
МЛД;Молдавская;Молдова;Юг
МСК;Московская;Россия;Северо-Запад
МПС;Мпс;Россия;Северо-Запад
ОДС;Одесская;Украина;Юг
ОКТ;Октябрьская;Россия;Северо-Запад
ПРВ;Приволжская;Россия;Юг
ПДН;Приднепровская;Украина;Юг
САХ;Сахалинская;Россия;Восток
СВР;Свердловская;Россия;Восток
СЕВ;Северная;Россия;Северо-Запад
СКВ;Северо-Кавказская;Россия;Юг
ТДЖ;Таджикская;Таджикистан;Юг
ТРК;Туркменская;Туркмения;Юг
УЗБ;Узбекские;Узбекистан;Юг
ЭСТ;Эстонская;Эстония;Северо-Запад
ЮВС;Юго-Восточная;Россия;Юг
ЮЗП;Юго-Западная;Украина;Юг
ЮЖН;Южная;Украина;Юг
ЮУР;Южно-Уральская;Россия;Юг
