Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
10002;ПЕТРОЗАВОДСК;ПЕТРОЗАВОДСК ;Карелия;Республика Карелия;Республика;ОКТ
10214;ГОЛИКОВКА;ГОЛИКОВКА ;Карелия;Республика Карелия;Республика;ОКТ
10318;ШУЙСКИЙ МОСТ;ШУЙСКИЙ МОСТ ;Карелия;Республика Карелия;Республика;ОКТ
10322;ТОМИЦЫ;ТОМИЦЫ ;Карелия;Республика Карелия;Республика;ОКТ
10407;ШУЙСКАЯ;ШУЙСКАЯ ;Карелия;Республика Карелия;Республика;ОКТ
10411;ОП 427 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 427 КМ ;Карелия;Республика Карелия;Республика;ОКТ
10426;ЛУЧЕВОЙ;ЛУЧЕВОЙ ;Карелия;Республика Карелия;Республика;ОКТ
10500;СУНА;СУНА ;Карелия;Республика Карелия;Республика;ОКТ
10604;ЗАДЕЛЬЕ;ЗАДЕЛЬЕ ;Карелия;Республика Карелия;Республика;ОКТ
10708;КОНДОПОГА;КОНДОПОГА ;Карелия;Республика Карелия;Республика;ОКТ
10727;МЯНСЕЛЬГА;МЯНСЕЛЬГА ;Карелия;Республика Карелия;Республика;ОКТ
10731;ИЛЕМСЕЛЬГА;ИЛЕМСЕЛЬГА ;Карелия;Республика Карелия;Республика;ОКТ
10801;КЕДРОЗЕРО;КЕДРОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
10820;ЛИЖМА;ЛИЖМА ;Карелия;Республика Карелия;Республика;ОКТ
10835;НОВ.ПОСЕЛОК;НОВЫЙ ПОСЕЛОК ;Карелия;Республика Карелия;Республика;ОКТ
10843;ВИКШЕЗЕРО;ВИКШЕЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
10905;НИГОЗЕРО;НИГОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
11005;КЯППЕСЕЛЬГА;КЯППЕСЕЛЬГА ;Карелия;Республика Карелия;Республика;ОКТ
11015;УНИЦА;УНИЦА ;Карелия;Республика Карелия;Республика;ОКТ
11109;ПЕРГУБА;ПЕРГУБА ;Карелия;Республика Карелия;Республика;ОКТ
11113;ПРЕДМЕДГОРСК;ПРЕДМЕДГОРСКИЙ ;Карелия;Республика Карелия;Республика;ОКТ
11202;ПРИОНЕЖСКАЯ;ПРИОНЕЖСКАЯ ;Карелия;Республика Карелия;Республика;ОКТ
11306;МЕДВЕЖ. ГОРА;МЕДВЕЖЬЯ ГОРА ;Карелия;Республика Карелия;Республика;ОКТ
11400;ВИЧКА;ВИЧКА ;Карелия;Республика Карелия;Республика;ОКТ
11414;ЛУМБУШОЗЕРО;ЛУМБУШОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
11429;МАЛЫГА;МАЛЫГА ;Карелия;Республика Карелия;Республика;ОКТ
11433;ВАНЗОЗЕРО;ВАНЗОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
11518;БЫСТРЯГИ;БЫСТРЯГИ ;Карелия;Республика Карелия;Республика;ОКТ
11522;РАМЕНЦЫ;РАМЕНЦЫ ;Карелия;Республика Карелия;Республика;ОКТ
11537;СУМЕРИЧИ;СУМЕРИЧИ ;Карелия;Республика Карелия;Республика;ОКТ
11541;МАСЕЛЬСКАЯ;МАСЕЛЬСКАЯ ;Карелия;Республика Карелия;Республика;ОКТ
11607;ПРИОН-ПЕР;ПРИОНЕЖСКАЯ-ПЕРЕВАЛКА ;Карелия;Республика Карелия;Республика;ОКТ
