ipem_index;ipem_key;origin_esr;dest_esr;cargo_name;cargo_id;cargo_code;rzd_cost_loaded_per_ton;rzd_cost_empty_per_ton;rzd_cost_total_per_ton;operators_cost_per_ton;transshipment_cost_per_ton;excise_or_duty_per_ton;transport_total_cost_per_ton;production_cost_per_ton;total_cost_per_ton;market_price_per_ton;rzd_match_count
1;86490_98470;86490;98470;КОНЦЕНТР УГОЛЬН;16104;16104;2128.56;982.67;3111.23;1253.23;1292.85;;5657.31;4547.50;10204.81;10627.227;8
2;86300_7640;86300;7640;УГОЛЬ Д;16112;16112;2004.78;899.89;2904.67;1252.90;1034.28;;5191.85;3342.25;8534.10;5645.445;57
3;88760_97950;88760;97950;УГОЛЬ Д;16112;16112;2273.88;1040.26;3314.14;2255.22;;;5569.36;1426.63;6995.99;8015.67;10
4;89310_98830;89310;98830;УГ БУР НЕПОДМОС;16109;16109;1694.42;1017.19;2711.61;1217.10;;;3928.71;797.15;4725.86;3436.22;8
5;89310_85200;89310;85200;УГ БУР НЕПОДМОС;16109;16109;628.01;328.12;956.13;429.57;;;1385.70;797.15;2182.85;3436.22;2
6;86300_96770;86300;96770;УГОЛЬ Д;16112;16112;1458.89;925.00;2383.89;1212.80;;;3596.69;3561.68;7158.37;3436.22;5
7;88760_20280;88760;20280;УГОЛЬ Д;16112;16112;2108.19;958.53;3066.72;1825.65;;;4892.37;1426.63;6319.00;5645.445;10
8;87180_81760;87180;81760;УГОЛЬ К;16114;16114;1045.96;518.87;1564.83;687.25;;;2252.08;6138.59;8390.67;3436.22;1
10;88760_52520;88760;52520;УГОЛЬ Д;16112;16112;2199.91;1017.19;3217.10;1217.10;872.24;;5306.44;1426.63;6733.08;6895.2;14
11;86300_51090;86300;51090;УГОЛЬ Г;16111;16111;1576.68;865.10;2441.78;894.93;;;3336.71;4426.45;7763.16;3436.22;1
12;86300_86420;86300;86420;УГОЛЬ Д;16112;16112;156.72;9.80;166.52;393.77;;;560.29;3342.25;3902.54;3436.22;5
13;86000_97950;86000;97950;УГОЛЬ Т;16118;16118;2340.48;1077.45;3417.93;2627.73;;;6045.66;3342.25;9387.92;8015.67;6
15;86300_98930;86300;98930;УГОЛЬ Г;16111;16111;2267.25;1050.48;3317.73;2627.73;;;5945.46;3561.68;9507.14;8015.67;26
16;86480_51090;86480;51090;КОНЦЕНТР УГОЛЬН;16104;16104;1676.12;943.87;2619.99;1181.30;;;3801.29;8811.99;12613.28;6635.65;1
17;86490_30250;86490;30250;КОНЦЕНТР УГОЛЬН;16104;16104;1397.09;701.46;2098.55;929.81;;;3028.36;4547.50;7575.86;6635.65;8
18;86300_52520;86300;52520;УГОЛЬ Г;16111;16111;1973.22;894.00;2867.22;966.52;872.24;;4705.98;4426.45;9132.44;6895.2;14
19;88760_7640;88760;7640;УГОЛЬ Д;16112;16112;1786.27;822.48;2608.75;1131.95;1034.28;;4774.98;7326.90;12101.88;5645.445;27
20;89310_88780;89310;88780;УГ БУР НЕПОДМОС;16109;16109;406.35;180.72;587.07;357.97;;;945.04;797.15;1742.19;3436.22;1
21;86500_86420;86500;86420;УГОЛЬ Ж;16113;16113;192.14;23.19;215.33;393.77;;;609.10;4547.50;5156.60;3436.22;2
22;86300_53260;86300;53260;УГОЛЬ Г;16111;16111;2155.55;987.87;3143.42;1897.25;;;5040.67;4426.45;9467.12;6895.2;9
23;88900_96280;88900;96280;УГ БУР НЕПОДМОС;16109;16109;1493.46;885.22;2378.68;1073.91;;;3452.59;459.65;3912.24;3436.22;3
24;88900_95470;88900;95470;УГ БУР НЕПОДМОС;16109;16109;1497.99;841.23;2339.22;1002.32;;;3341.54;459.65;3801.19;3436.22;8
26;86300_7640;86300;7640;УГОЛЬ Г;16111;16111;1873.97;835.77;2709.74;966.52;1034.28;;4710.54;4426.45;9136.99;5645.445;49
27;86300_52520;86300;52520;УГОЛЬ Д;16112;16112;1908.39;881.85;2790.24;1414.93;872.24;;5077.42;3561.68;8639.09;6895.2;28
29;86430_88380;86430;88380;УГОЛЬ Т;16118;16118;605.62;339.60;945.22;608.55;;;1553.77;4426.45;5980.22;3436.22;3
31;86490_81760;86490;81760;КОНЦЕНТР УГОЛЬН;16104;16104;1098.95;540.54;1639.49;768.11;;;2407.60;4547.50;6955.10;6635.65;1
32;85270_7640;85270;7640;АНТРАЦИТ;16101;16101;1903.83;855.89;2759.72;1145.51;1034.28;;4939.51;6527.30;11466.81;8360.43;26
33;86430_98610;86430;98610;УГОЛЬ Т;16118;16118;2340.48;1077.45;3417.93;1576.64;1292.85;;6287.42;3342.25;9629.67;8015.67;17
34;86460_80120;86460;80120;КОНЦЕНТР УГОЛЬН;16104;16104;1081.42;536.23;1617.65;608.55;;;2226.20;4722.64;6948.84;6635.65;1
35;86220_21270;86220;21270;УГОЛЬ Д;16112;16112;1355.39;773.93;2129.32;1172.37;;;3301.69;3561.68;6863.37;3436.22;6
36;88930_92460;88930;92460;УГ БУР НЕПОДМОС;16109;16109;516.30;229.63;745.93;572.75;;;1318.68;697.92;2016.60;3436.22;2
37;94610_94700;94610;94700;УГ БУР НЕПОДМОС;16109;16109;419.65;141.96;561.61;322.17;;;883.78;6138.59;7022.37;8015.67;4
38;85270_52520;85270;52520;АНТРАЦИТ;16101;16101;1883.83;850.43;2734.26;859.13;872.24;;4465.63;6527.30;10992.93;10110.087;3
39;86410_19330;86410;19330;КОНЦЕНТР УГОЛЬН;16104;16104;1497.99;841.23;2339.22;1109.71;;;3448.93;4547.50;7996.43;6635.65;3
41;86480_81760;86480;81760;КОНЦЕНТР УГОЛЬН;16104;16104;1215.59;587.55;1803.14;680.14;;;2483.28;8811.99;11295.27;6635.65;2
42;86470_97950;86470;97950;УГОЛЬ Т;16118;16118;2584.49;1171.15;3755.64;2326.81;;;6082.45;6527.30;12609.75;8015.67;3
43;86460_98780;86460;98780;КОНЦЕНТР УГОЛЬН;16104;16104;2350.57;1068.11;3418.68;1109.71;1292.85;;5821.24;4722.64;10543.88;10627.227;4
44;88760_52530;88760;52530;УГОЛЬ Д;16112;16112;1694.42;1017.19;2711.61;1288.70;;;4000.31;1426.63;5426.94;3436.22;13
45;88760_83360;88760;83360;УГОЛЬ Д;16112;16112;833.83;452.13;1285.96;572.75;;;1858.71;1426.63;3285.34;3436.22;4
46;86490_97040;86490;97040;ПРОМПРОДУКТ УГ;16106;16106;1432.95;873.74;2306.69;1172.37;;;3479.06;4547.50;8026.56;3436.22;5
48;88850_7640;88850;7640;УГОЛЬ Г;16111;16111;2018.72;921.86;2940.58;1002.32;1034.28;;4977.18;459.65;5436.83;5645.445;10
49;86370_96710;86370;96710;КОНЦЕНТР УГОЛЬН;16104;16104;2139.61;991.51;3131.12;1038.12;1292.85;;5462.09;6373.99;11836.08;10627.227;3
50;88760_29090;88760;29090;УГОЛЬ Д;16112;16112;1528.40;854.88;2383.28;1293.65;;;3676.93;4781.46;8458.39;3436.22;11
51;86260_30250;86260;30250;УГОЛЬ К;16114;16114;1388.56;674.48;2063.04;929.81;;;2992.85;3561.68;6554.53;3436.22;3
52;86000_98470;86000;98470;АНТРАЦИТ;16101;16101;2198.12;1008.31;3206.43;1253.23;1292.85;;5752.51;3342.25;9094.76;10627.227;13
53;86460_19330;86460;19330;КОНЦЕНТР УГОЛЬН;16104;16104;1560.80;777.11;2337.91;894.93;;;3232.84;4722.64;7955.48;6635.65;2
54;86480_96780;86480;96780;АНТРАЦИТ;16101;16101;2281.72;1061.18;3342.90;1324.49;1292.85;;5960.24;4722.64;10682.88;10627.227;5
55;86390_7640;86390;7640;УГОЛЬ СС;16117;16117;1696.08;768.91;2464.99;1091.52;1034.28;;4590.79;3342.25;7933.04;5645.445;1
56;88850_52520;88850;52520;УГОЛЬ Г;16111;16111;2101.30;977.58;3078.88;1002.32;872.24;;4953.44;459.65;5413.09;6895.2;4
57;87180_7640;87180;7640;УГОЛЬ СС;16117;16117;1696.08;768.91;2464.99;1091.52;1034.28;;4590.79;6138.59;10729.38;5645.445;2
