index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
1;86490_98470;86490;98470;КОНЦЕНТР УГОЛЬН;Экспорт (Восток);True;9
2;86300_7640;86300;7640;УГОЛЬ Д;Экспорт (Северо-Запад);True;106
3;88760_97950;88760;97950;УГОЛЬ Д;Экспорт (Восток);True;10
4;89310_98830;89310;98830;УГ БУР НЕПОДМОС;Внутр. перевозки (Восток);True;9
5;89310_85200;89310;85200;УГ БУР НЕПОДМОС;Внутр. перевозки (Юг);True;2
6;86300_96770;86300;96770;УГОЛЬ Д;Внутр. перевозки (Восток);True;5
7;88760_20280;88760;20280;УГОЛЬ Д;Экспорт (Северо-Запад);True;10
8;87180_81760;87180;81760;УГОЛЬ К;Внутр. перевозки (Юг);True;1
10;88760_52520;88760;52520;УГОЛЬ Д;Экспорт (Юг);True;14
11;86300_51090;86300;51090;УГОЛЬ Г;Внутр. перевозки (Юг);True;1
12;86300_86420;86300;86420;УГОЛЬ Д;Внутр. перевозки (Юг);True;15
13;86000_97950;86000;97950;УГОЛЬ Т;Экспорт (Восток);True;7
15;86300_98930;86300;98930;УГОЛЬ Г;Экспорт (Восток);True;26
16;86480_51090;86480;51090;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Юг);True;1
17;86490_30250;86490;30250;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Северо-Запад);True;8
18;86300_52520;86300;52520;УГОЛЬ Г;Экспорт (Юг);True;42
19;88760_7640;88760;7640;УГОЛЬ Д;Экспорт (Северо-Запад);True;27
20;89310_88780;89310;88780;УГ БУР НЕПОДМОС;Внутр. перевозки (Восток);True;14
21;86500_86420;86500;86420;УГОЛЬ Ж;Внутр. перевозки (Юг);True;2
22;86300_53260;86300;53260;УГОЛЬ Г;Экспорт (Юг);True;10
23;88900_96280;88900;96280;УГ БУР НЕПОДМОС;Внутр. перевозки (Восток);True;3
24;88900_95470;88900;95470;УГ БУР НЕПОДМОС;Внутр. перевозки (Восток);True;8
26;86300_7640;86300;7640;УГОЛЬ Г;Экспорт (Северо-Запад);True;106
27;86300_52520;86300;52520;УГОЛЬ Д;Экспорт (Юг);True;42
28;87180_19330;87180;19330;УГОЛЬ К;Внутр. перевозки (Северо-Запад);True;1
29;86430_88380;86430;88380;УГОЛЬ Т;Внутр. перевозки (Восток);True;3
31;86490_81760;86490;81760;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Юг);True;1
32;85270_7640;85270;7640;АНТРАЦИТ;Экспорт (Северо-Запад);True;26
33;86430_98610;86430;98610;УГОЛЬ Т;Экспорт (Восток);True;17
34;86460_80120;86460;80120;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Юг);True;1
35;86220_21270;86220;21270;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);True;6
36;88930_92460;88930;92460;УГ БУР НЕПОДМОС;Внутр. перевозки (Восток);True;2
37;94610_94700;94610;94700;УГ БУР НЕПОДМОС;Экспорт (Восток);True;7
38;85270_52520;85270;52520;АНТРАЦИТ;Экспорт (Юг);True;3
39;86410_19330;86410;19330;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Северо-Запад);True;3
41;86480_81760;86480;81760;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Юг);True;2
42;86470_97950;86470;97950;УГОЛЬ Т;Экспорт (Восток);True;3
43;86460_98780;86460;98780;КОНЦЕНТР УГОЛЬН;Экспорт (Восток);True;4
44;88760_52530;88760;52530;УГОЛЬ Д;Внутр. перевозки (Юг);True;13
45;88760_83360;88760;83360;УГОЛЬ Д;Внутр. перевозки (Юг);True;5
46;86490_97040;86490;97040;ПРОМПРОДУКТ УГ;Внутр. перевозки (Восток);True;5
48;88850_7640;88850;7640;УГОЛЬ Г;Экспорт (Северо-Запад);True;10
49;86370_96710;86370;96710;КОНЦЕНТР УГОЛЬН;Экспорт (Восток);True;10
50;88760_29090;88760;29090;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);True;11
51;86260_30250;86260;30250;УГОЛЬ К;Внутр. перевозки (Северо-Запад);True;6
52;86000_98470;86000;98470;АНТРАЦИТ;Экспорт (Восток);True;27
53;86460_19330;86460;19330;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Северо-Запад);True;2
54;86480_96780;86480;96780;АНТРАЦИТ;Экспорт (Восток);True;5
55;86390_7640;86390;7640;УГОЛЬ СС;Экспорт (Северо-Запад);True;1
56;88850_52520;88850;52520;УГОЛЬ Г;Экспорт (Юг);True;4
57;87180_7640;87180;7640;УГОЛЬ СС;Экспорт (Северо-Запад);True;2
58;88760_10250;88760;10250;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);True;6
59;86300_52100;86300;52100;УГОЛЬ Г;Экспорт (Юг);True;9
61;86390_59220;86390;59220;УГОЛЬ СС;Внутр. перевозки (Юг);True;5
62;88760_84320;88760;84320;УГОЛЬ Д;Внутр. перевозки (Юг);True;23
63;88760_96900;88760;96900;УГОЛЬ Д;Внутр. перевозки (Восток);True;6
64;88900_22790;88900;22790;УГ БУР НЕПОДМОС;Внутр. перевозки (Северо-Запад);True;6
65;86230_26460;86230;26460;УГОЛЬ Д;Внутр. перевозки (Юг);True;2
66;86230_26580;86230;26580;УГОЛЬ Д;Внутр. перевозки (Юг);True;1
67;86220_83030;86220;83030;УГОЛЬ Д;Внутр. перевозки (Юг);True;15
