index;Группа груза;Код группы;Груз;Холдинг грузоотправителя;Грузоотправитель;Дорога отправления;Станция отправления;Код ЕСР станции отправления;Дорога назначения;Станция назначения;Код ЕСР станции назначения;КЛЮЧ_КОД_МАРШРУТА;vid;Полигон;Вид сообщения;Род вагона;Тип отправки;Расстояние перевозки (гружёный рейс), км;Расстояние перевозки (порожний рейс), км;Загрузка в вагон, т.;Возврат порожних вагонов,%;Срок доставки, гружёный рейс;Срок доставки,порожний рейс;Срок доставки, погр./выгр.;Ставка на вагон, руб. за вагон в сутки;"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (груженый пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (порожний пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (итого)";Расходы по оплате услуг операторов_2024, руб. за тонну;Расходы на перевалку_2024, руб. за тонну;Акциз/пошлина;Общие транспортные расходы, руб. за тонну ;Себестоимость добычи/производства, руб. т.;Общие расходы, руб. за тонну;Стоимость 1 тонны на рынке, руб./т.;fraht_2024;fraht_2025;fraht_2026;fraht_2027;fraht_2028;fraht_2029;fraht_2030;fraht_2031;fraht_2032;fraht_2033;fraht_2034;fraht_2035;ipem_gr;ipem_pr;key;typical_index;price_coeff_2025;price_coeff_2026;price_coeff_2027;price_coeff_2028;price_coeff_2029;price_coeff_2030;price_coeff_2031;price_coeff_2032;price_coeff_2033;price_coeff_2034;price_coeff_2035;elastic_category
1;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""ЕвразХолдинг""";РУК, ООО;ЗСБ;МЕЖДУРЕЧЕНСК;86490;ДВС;НАХОДКА-ЭКС;98470;86490_98470;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;5 879;5 879;75;;13;14;4;3 032,00;2 128,56;982,67;3 111,23;1 253,23;1 292,85;;5 657,31;4 547,50;10 204,81;10627,227;0;0;0;0;0;0;0;0;0;0;0;0;1366198;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
2;Уголь каменный;1;УГОЛЬ Д;"ООО ""Промугольсервис""";ПРОМУГОЛЬСЕРВИС, ООО;ЗСБ;ЕРУНАКОВО;86300;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;86300_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;4 174;4 174;69;;15;16;4;2 470,00;2 004,78;899,89;2 904,67;1 252,90;1 034,28;;5 191,85;3 342,25;8 534,10;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1370500;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
3;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РУССКИЙ УГОЛЬ, АО;КРС;КАМЫШТА;88760;ДВС;КАМЫШ-ЭКСПОР;97950;88760_97950;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;5 651;5 651;69;;30;29;4;2 470,00;2 273,88;1 040,26;3 314,14;2 255,22;;;5 569,36;1 426,63;6 995,99;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1371464;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
4;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""СУЭК""";СУЭК-КРАСНОЯРСК, АО;КРС;ЗАОЗЕРНАЯ;89310;ДВС;УССУРИЙСК;98830;89310_98830;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;4 916;4 916;69;;15;15;4;2 470,00;1 694,42;1 017,19;2 711,61;1 217,10;;;3 928,71;797,15;4 725,86;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367476;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
5;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""СУЭК""";СУЭК-КРАСНОЯРСК, АО;КРС;ЗАОЗЕРНАЯ;89310;ЗСБ;ЖЕРЕБЦОВО;85200;89310_85200;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;908;908;69;;4;4;4;2 470,00;628,01;328,12;956,13;429,57;;;1 385,70;797,15;2 182,85;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367631;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
6;Уголь каменный;1;УГОЛЬ Д;"УК ""КУЗБАССРАЗРЕЗУГОЛЬ"" 
(ООО ""УГМК-Холдинг"")";УК КУЗБАССРАЗРЕЗУГОЛЬ, АО;ЗСБ;ЕРУНАКОВО;86300;ДВС;ВАНИНО-ПЕРЕВ;96770;86300_96770;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;маршрутная;6 060;6 060;75;;13;13;4;3 032,00;1 458,89;925,00;2 383,89;1 212,80;;;3 596,69;3 561,68;7 158,37;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1369116;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
7;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РАЗРЕЗ КИРБИНСКИЙ, ООО;КРС;КАМЫШТА;88760;МСК;СУРАЖ-ЭКСП;20280;88760_20280;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;4 539;4 539;69;;24;23;4;2 470,00;2 108,19;958,53;3 066,72;1 825,65;;;4 892,37;1 426,63;6 319,00;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1372065;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
8;Уголь каменный;1;УГОЛЬ К;"АО ХК ""СДС-Уголь""";СДС-УГОЛЬ, АО ХК;ЗСБ;ЗАБОЙЩИК;87180;ЮУР;МАГНИТОГ-ГР;81760;87180_81760;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;2 159;2 159;75;;6;7;4;3 032,00;1 045,96;518,87;1 564,83;687,25;;;2 252,08;6 138,59;8 390,67;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1373826;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
9;Уголь каменный;1;АНТРАЦИТ;"ООО ""Башкирский промышленный холдинг"" (ООО""Сибкапитал"")";РАЗРЕЗ КИЙЗАССКИЙ, ООО;ЗСБ;ЛИНЕВО;85270;ОКТ;ТИХВИН;4750;85270_4750;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;3 497;3 497;69;;12;12;4;2 470,00;1 476,14;797,25;2 273,39;1 002,32;;;3 275,71;6 527,30;9 803,01;3175,51;0;0;0;0;0;0;0;0;0;0;0;0;1365590;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
10;Уголь каменный;1;УГОЛЬ Д;"АО ""Русский уголь""";РУССКИЙ УГОЛЬ, АО;КРС;КАМЫШТА;88760;СКВ;ВЫШСТБЛ-ЭКС;52520;88760_52520;Экспорт;Юг;Экспорт (Юг);Полувагоны;группа вагонов;5 144;5 144;69;;15;15;4;2 470,00;2 199,91;1 017,19;3 217,10;1 217,10;872,24;;5 306,44;1 426,63;6 733,08;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1372698;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
11;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СКВ;УСПЕНСКАЯ;51090;86300_51090;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;4 513;4 513;69;;10;11;4;2 470,00;1 576,68;865,10;2 441,78;894,93;;;3 336,71;4 426,45;7 763,16;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1368179;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
12;Уголь каменный;1;УГОЛЬ Д;"ООО ""Промугольсервис""";ПРОМУГОЛЬСЕРВИС, ООО;ЗСБ;ЕРУНАКОВО;86300;ЗСБ;НОВОКУЗ.-СЕВ;86420;86300_86420;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;24;24;69;;3;4;4;2 470,00;156,72;9,80;166,52;393,77;;;560,29;3 342,25;3 902,54;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1370021;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
13;Уголь каменный;1;УГОЛЬ Т;"ООО ""МелТЭК""";МЕЛТЭК, ООО;ЗСБ;НОВОКУЗ.-СОР;86000;ДВС;КАМЫШ-ЭКСПОР;97950;86000_97950;Экспорт;Восток;Экспорт (Восток);Полувагоны;повагонная;5 953;5 953;75;;31;30;4;3 032,00;2 340,48;1 077,45;3 417,93;2 627,73;;;6 045,66;3 342,25;9 387,92;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1374089;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
14;Уголь каменный;1;УГОЛЬ Д;"АО ХК ""СДС-Уголь""";СДС-УГОЛЬ, АО ХК;ЗСБ;ТЕРНТЬЕВСКАЯ;86210;ДВС;БИРОБИДЖАН 1;96280;86210_96280;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;маршрутная;5 132;5 132;75;;11;12;4;3 032,00;1 432,95;873,74;2 306,69;1 091,52;;;3 398,21;6 138,59;9 536,80;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1371163;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
15;Уголь каменный;1;УГОЛЬ Г;"УК ""КУЗБАССРАЗРЕЗУГОЛЬ"" 
(ООО ""УГМК-Холдинг"")";АТРИУМ, АО;ЗСБ;ЕРУНАКОВО;86300;ДВС;ГРОДЕК/КИТАЙ;98930;86300_98930;Экспорт;Восток;Экспорт (Восток);Полувагоны;группа вагонов;6 080;6 080;75;;31;30;4;3 032,00;2 267,25;1 050,48;3 317,73;2 627,73;;;5 945,46;3 561,68;9 507,14;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1368024;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
16;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""Новая горная управляющая компания""";ТОРГОВЫЙ ДОМ ЮЖНО-СИБИРСКИЙ, АО;ЗСБ;КИЙЗАК;86480;СКВ;УСПЕНСКАЯ;51090;86480_51090;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;группа вагонов;4 599;4 599;69;;14;15;4;2 470,00;1 676,12;943,87;2 619,99;1 181,30;;;3 801,29;8 811,99;12 613,28;6635,65;0;0;0;0;0;0;0;0;0;0;0;0;1366399;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
17;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""ЕвразХолдинг""";РУК, ООО;ЗСБ;МЕЖДУРЕЧЕНСК;86490;СЕВ;ЧЕРЕПОВЕЦ 2;30250;86490_30250;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;маршрутная;3 648;3 648;75;;9;10;4;3 032,00;1 397,09;701,46;2 098,55;929,81;;;3 028,36;4 547,50;7 575,86;6635,65;0;0;0;0;0;0;0;0;0;0;0;0;1366402;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
18;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СКВ;ВЫШСТБЛ-ЭКС;52520;86300_52520;Экспорт;Юг;Экспорт (Юг);Полувагоны;маршрутная;4 580;4 580;69;;11;12;4;2 470,00;1 973,22;894,00;2 867,22;966,52;872,24;;4 705,98;4 426,45;9 132,44;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1371056;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
19;Уголь каменный;1;УГОЛЬ Д;"ООО ""Коулстар""";УК РАЗРЕЗ БЕЙСКИЙ, ООО;КРС;КАМЫШТА;88760;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;88760_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;маршрутная;4 520;4 520;75;;12;12;4;3 032,00;1 786,27;822,48;2 608,75;1 131,95;1 034,28;;4 774,98;7 326,90;12 101,88;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1372284;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
20;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""СУЭК""";СУЭК-КРАСНОЯРСК, АО;КРС;ЗАОЗЕРНАЯ;89310;КРС;ТАШЕБА;88780;89310_88780;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;маршрутная;499;499;69;;3;3;4;2 470,00;406,35;180,72;587,07;357,97;;;945,04;797,15;1 742,19;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367674;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
21;Уголь каменный;1;УГОЛЬ Ж;"ООО ""ЕвразХолдинг""";РУК, ООО;ЗСБ;ОСИННИКИ;86500;ЗСБ;НОВОКУЗ.-СЕВ;86420;86500_86420;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;группа вагонов;42;42;69;;3;4;4;2 470,00;192,14;23,19;215,33;393,77;;;609,10;4 547,50;5 156,60;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1373684;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
22;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СКВ;ВЕСЕЛОЕ-ЭКСП;53260;86300_53260;Экспорт;Юг;Экспорт (Юг);Полувагоны;группа вагонов;4 732;4 732;69;;25;24;4;2 470,00;2 155,55;987,87;3 143,42;1 897,25;;;5 040,67;4 426,45;9 467,12;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1368189;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
23;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""Русский уголь""";РУССКИЙ УГОЛЬ, АО;КРС;КИЛЬЧУГ;88900;ДВС;БИРОБИДЖАН 1;96280;88900_96280;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;4 152;4 152;69;;13;13;4;2 470,00;1 493,46;885,22;2 378,68;1 073,91;;;3 452,59;459,65;3 912,24;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367336;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
24;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""Русский уголь""";РУССКИЙ УГОЛЬ, АО;КРС;КИЛЬЧУГ;88900;ЗАБ;БЛАГОВЕЩЕНСК;95470;88900_95470;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;3 776;3 776;69;;12;12;4;2 470,00;1 497,99;841,23;2 339,22;1 002,32;;;3 341,54;459,65;3 801,19;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367528;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
25;Уголь каменный;1;УГ БУР НЕПОДМОС;"АО ""СУЭК""";СУЭК-КРАСНОЯРСК, АО;КРС;ЗАОЗЕРНАЯ;89310;МСК;ВОСЛЕБОВО;22790;89310_22790;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;4 791;4 791;69;;14;14;4;2 470,00;1 688,97;929,22;2 618,19;1 145,51;;;3 763,70;797,15;4 560,85;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1367719;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
26;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;86300_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;маршрутная;4 176;4 176;69;;11;12;4;2 470,00;1 873,97;835,77;2 709,74;966,52;1 034,28;;4 710,54;4 426,45;9 136,99;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1370500;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
27;Уголь каменный;1;УГОЛЬ Д;"УК ""КУЗБАССРАЗРЕЗУГОЛЬ"" 
(ООО ""УГМК-Холдинг"")";АТРИУМ, АО;ЗСБ;ЕРУНАКОВО;86300;СКВ;ВЫШСТБЛ-ЭКС;52520;86300_52520;Экспорт;Юг;Экспорт (Юг);Полувагоны;группа вагонов;4 786;4 786;75;;15;16;4;3 032,00;1 908,39;881,85;2 790,24;1 414,93;872,24;;5 077,42;3 561,68;8 639,09;6895,2;0;0;0;0;0;0;0;0;0;0;0;0;1371056;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
28;Уголь каменный;1;УГОЛЬ К;"АО ХК ""СДС-Уголь""";СДС-УГОЛЬ, АО ХК;ЗСБ;ЗАБОЙЩИК;87180;МСК;БИРЮЛЕВО-ТОВ;19330;87180_19330;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;маршрутная;3 588;3 588;75;;10;11;4;3 032,00;1 404,08;687,97;2 092,05;1 010,67;;;3 102,72;6 138,59;9 241,31;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1374631;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
29;Уголь каменный;1;УГОЛЬ Т;"АО ""Талтэк""";КРАСНОКАМЕНСКАЯ, ООО ЦОФ;ЗСБ;АБАГУР-ЛЕСН.;86430;КРС;АЧИНСК 2;88380;86430_88380;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;766;766;69;;6;7;4;2 470,00;605,62;339,60;945,22;608,55;;;1 553,77;4 426,45;5 980,22;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1374256;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
30;Уголь каменный;1;УГОЛЬ Д;"АО ХК ""СДС-Уголь""";СДС-УГОЛЬ, АО ХК;ЗСБ;ТЕРНТЬЕВСКАЯ;86210;СЕВ;ИНТА 2;28870;86210_28870;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;4 082;4 082;75;;13;14;4;3 032,00;1 351,37;814,40;2 165,77;1 253,23;;;3 419,00;6 138,59;9 557,59;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1370764;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
31;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ООО ""ЕвразХолдинг""";РУК, ООО;ЗСБ;МЕЖДУРЕЧЕНСК;86490;ЮУР;МАГНИТОГ-ГР;81760;86490_81760;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;2 333;2 333;75;;7;8;4;3 032,00;1 098,95;540,54;1 639,49;768,11;;;2 407,60;4 547,50;6 955,10;6635,65;0;0;0;0;0;0;0;0;0;0;0;0;1366503;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
32;Уголь каменный;1;АНТРАЦИТ;"ООО ""Башкирский промышленный холдинг"" (ООО""Сибкапитал"")";РАЗРЕЗ КИЙЗАССКИЙ, ООО;ЗСБ;ЛИНЕВО;85270;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;85270_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;3 842;3 842;69;;14;14;4;2 470,00;1 903,83;855,89;2 759,72;1 145,51;1 034,28;;4 939,51;6 527,30;11 466,81;8360,43;0;0;0;0;0;0;0;0;0;0;0;0;1365596;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
33;Уголь каменный;1;УГОЛЬ Т;"ООО ""МелТЭК""";МЕЛТЭК, ООО;ЗСБ;АБАГУР-ЛЕСН.;86430;ДВС;НАХОДКА-В-ЭК;98610;86430_98610;Экспорт;Восток;Экспорт (Восток);Полувагоны;группа вагонов;5 964;5 964;75;;17;18;4;3 032,00;2 340,48;1 077,45;3 417,93;1 576,64;1 292,85;;6 287,42;3 342,25;9 629,67;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1374136;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
34;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ПАО ""Мечел""";ЮЖНЫЙ КУЗБАСС, ПАО;ЗСБ;ТОМУСИНСКАЯ;86460;ЮУР;МЕТАЛЛУРГИЧ.;80120;86460_80120;Внутр. перевозки;Юг;Внутр. перевозки (Юг);Полувагоны;маршрутная;1 910;1 910;69;;6;7;4;2 470,00;1 081,42;536,23;1 617,65;608,55;;;2 226,20;4 722,64;6 948,84;6635,65;0;0;0;0;0;0;0;0;0;0;0;0;1366486;26688;Уголь каменныйВнутр. перевозкиЮг;97;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
